   , Breed                     , Disease                                  , Count        , description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , temperament                              , popularity, min_height, max_height, min_weight         , max_weight        , min_expectancy, max_expectancy, group                   , grooming_frequency_value, grooming_frequency_category, shedding_value, shedding_category, energy_level_value, energy_level_category , trainability_value, trainability_category, demeanor_value, demeanor_category
123, Pug                       , Chronic hepatitis                        , 0            , "The Pug’s motto is the Latin phrase “multum in parvo” (a lot in a little)—an apt description of this small but muscular breed. They come in three colors: silver or apricot-fawn with a black face mask, or all black. The large round head, the big, sparkling eyes, and the wrinkled brow give Pugs a range of human-like expressions—surprise, happiness, curiosity—that have delighted owners for centuries.Pug owners say their breed is the ideal house dog. Pugs are happy in the city or country, with kids or old folks, as an only pet or in a pack. They enjoy their food, and care must be taken to keep them trim. They do best in moderate climates—not too hot, not too cold—but, with proper care, Pugs can be their adorable selves anywhere. Once the mischievous companion of Chinese emperors, and later the mascot of Holland’s royal House of Orange, the small but solid Pug is today adored by his millions of fans around the world. Pugs live to love and to be loved in return."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "Charming, Mischievous, Loving"          ,         28,      25.4 ,      33.02,  6.35029318        ,  8.164662660000001,           13.0,           15.0, Toy Group               ,                      0.4, Weekly Brushing            ,            0.8, Regularly        ,                0.6, Regular Exercise      ,                0.6, Agreeable            ,            0.8, Friendly
124, French Bulldog            , Chronic hepatitis                        , 0            , "The French Bulldog resembles a Bulldog in miniature, except for the large, erect “bat ears” that are the breed’s trademark feature. The head is large and square, with heavy wrinkles rolled above the extremely short nose. The body beneath the smooth, brilliant coat is compact and muscular.The bright, affectionate Frenchie is a charmer. Dogs of few words, Frenchies don’t bark much—but their alertness makes them excellent watchdogs. They happily adapt to life with singles, couples, or families, and do not require a lot of outdoor exercise. They get on well with other animals and enjoy making new friends of the human variety. It is no wonder that city folk from Paris to Peoria swear by this vastly amusing and companionable breed. The one-of-a-kind French Bulldog, with his large bat ears and even disposition, is one of the world’s most popular small-dog breeds, especially among city dwellers. The Frenchie is playful, alert, adaptable, and completely irresistible."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , "Adaptable, Playful, Smart"              ,          4,      27.94,      33.02, 12.70058636        , 12.70058636       ,           10.0,           12.0, Non-Sporting Group      ,                      0.2, Occasional Bath/Brush      ,            0.8, Regularly        ,                0.4, Calm                  ,                0.6, Agreeable            ,            0.6, Alert/Responsive
125, Pekingese                 , Chronic hepatitis                        , 0            , "Pekingese are compact, stocky toy dogs weighing up to 14 pounds. The coat is longest at the neck and shoulders, giving Pekes their famous “lion’s mane.” Coats come in various reds, from a golden-red to darker shades. The large, short-muzzled head is a wider-than-long “envelope shaped” rectangle, and the eyes are large, dark, and sparkly. A unique feature of Pekes is their effortless “rolling” gait.Pekes are charming, confident companions who develop a tight bond with their favorite human. Bred to live in palaces, they can be as serenely independent as the emperors who owned them. (They’re “opinionated,” Peke people say.) Ever alert, they make good watchdogs. Pekes will tolerate kids but won’t stand for a lot of roughhousing. The Pekingese, a compact toy companion of regal bearing and a distinctive rolling gait, is one of several breeds created for the ruling classes of ancient China. These are sophisticated dogs of undying loyalty and many subtle delights."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "Affectionate, Loyal, Regal in Manner"   ,         92,      15.24,      22.86,  6.35029318        ,  6.35029318       ,           12.0,           14.0, Toy Group               ,                      0.6, 2-3 Times a Week Brushing  ,            0.6, Seasonal         ,                0.4, Calm                  ,                0.2, May be Stubborn      ,            0.4, Reserved with Strangers
126, Dachshund                 , Chronic hepatitis                        , 0            , "The word “icon” is terribly overworked, but the Dachshund—with his unmistakable long-backed body, little legs, and big personality—is truly an icon of purebred dogdom. Dachshunds can be standard-sized (usually 16 to 32 pounds) or miniature (11 pounds or under), and come in one of three coat types: smooth, wirehaired, or longhaired.Dachshunds aren’t built for distance running, leaping, or strenuous swimming, but otherwise these tireless hounds are game for anything. Smart and vigilant, with a big-dog bark, they make fine watchdogs. Bred to be an independent hunter of dangerous prey, they can be brave to the point of rashness, and a bit stubborn, but their endearing nature and unique look has won millions of hearts the world over. The famously long, low silhouette, ever-alert expression, and bold, vivacious personality of the Dachshund have made him a superstar of the canine kingdom. Dachshunds come in two sizes and in three coat types of various colors and patterns."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , "Friendly, Curious, Spunky"              ,         12,      12.7 ,      22.86,  4.9895160700000005, 14.51495584       ,           12.0,           16.0, Hound Group             ,                      0.4, Weekly Brushing            ,            0.4, Occasional       ,                0.6, Regular Exercise      ,                0.6, Agreeable            ,            0.6, Alert/Responsive
127, Cocker Spaniel            , Chronic hepatitis                        , 0            , "Those big, dark eyes; that sweet expression; those long, lush ears that practically demand to be touched—no wonder the Cocker spent years as America’s most popular breed. The Cocker is the AKC’s smallest sporting spaniel, standing about 14 to 15 inches. The coat comes in enough colors and patterns to please any taste. The well-balanced body is sturdy and solid, and these quick, durable gundogs move with a smooth, easy gait.Cockers are eager playmates for kids and are easily trained as companions and athletes. They are big enough to be sporty, but compact enough to be portable. A Cocker in full coat rewards extra grooming time by being the prettiest dog on the block. These energetic sporting dogs love playtime and brisk walks. The merry and frolicsome Cocker Spaniel, with his big, dreamy eyes and impish personality, is one of the world’s best-loved breeds. They were developed as hunting dogs, but Cockers gained their wide popularity as all-around companions."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Gentle, Smart, Happy"                   ,         30,      34.29,      39.37,  9.0718474         , 13.6077711        ,           10.0,           14.0, Sporting Group          ,                      0.8, Daily Brushing             ,            0.4, Occasional       ,                0.6, Regular Exercise      ,                1.0, Eager to Please      ,            1.0, Outgoing
128, American Pit Bull Terrier , Chronic hepatitis                        , 0            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
129, Jack Russell Terrier      , Chronic hepatitis                        , 0            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
130, Poodle                    , Chronic hepatitis                        , 1            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
131, Russian Spaniel           , Chronic hepatitis                        , 0            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
132, Miniature Pinscher        , Chronic hepatitis                        , 0            , "Min Pins are sturdy, compact dogs standing no more than 12.5 inches at the shoulder. The smooth, shiny coat comes in two shades of solid red, or chocolate-and-rust or black-and-rust. The dark, slightly oval eyes and high-set ears help bring out a self-possessed, “big dog” personality. A distinguishing characteristic is the Min Pin’s high-stepping “hackney” gait, reminiscent of a hackney horse at the trot. The leggy Miniature Pinscher is known to fans as the “King of Toys.” This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping “hackney” gait."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , "Fearless, Fun-Loving, Proud"            ,         70,      25.4 ,      31.75,  3.62873896        ,  4.535923700000001,           12.0,           16.0, Toy Group               ,                      0.2, Occasional Bath/Brush      ,            0.2, Infrequent       ,                0.6, Regular Exercise      ,                0.4, Independent          ,            0.6, Alert/Responsive
133, Maltipoo                  , Chronic hepatitis                        , 0            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                          ,           ,           ,           ,                    ,                   ,               ,               ,                         ,                         ,                            ,               ,                  ,                   ,                       ,                   ,                      ,               , 
134, Chinese Shar-Pei          , Chronic hepatitis                        , 0            , "The compact, medium-sized Chinese Shar-Pei is an amalgam of odd physical traits: a broad “hippopotamus” muzzle; a blue-black tongue; small, sunken eyes with a scowling expression; tiny triangular ears; abundant folds of loose skin about the head, neck, and shoulders; the tapered high-set tail—all blanketed by a harsh, sandpapery coat. (A literal translation of Shar-Pei: “sand skin.”)Shar-Pei are strong, regal, independent guardians famous for intelligence and loyalty. They are suspicious of strangers and other dogs. Shar-Pei are serene dogs, but they will meet a perceived threat with tenacity and vigor. Early training and socialization are essential—a dominant adult Shar-Pei without them is a serious problem waiting to happen. This fascinating but challenging breed of ancient pedigree is steadfastly loyal to family, but standoffish with strangers. The Chinese Shar-Pei has physical characteristics that make him a one-of-a-kind companion and guardian dog."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "Loyal, Independent, Calm"               ,         64,      45.72,      50.8 , 20.41165665        , 27.2155422        ,            8.0,           12.0, Non-Sporting Group      ,                      0.2, Occasional Bath/Brush      ,            0.8, Regularly        ,                0.6, Regular Exercise      ,                0.2, May be Stubborn      ,            0.4, Reserved with Strangers
135, Staffordshire Bull Terrier, Chronic hepatitis                        , 0            , "At 14 to 16 inches, Staffordshire Bull Terriers do not stand particularly tall. But, weighing anywhere between 24 to 38 pounds, they pour a gallon of dog into a quart-size container. These are rock-solid, muscular terriers. The head is short and broad, with pronounced cheek muscles, and the tight-fitting coat comes in several colors.Staffordshire Bull Terriers still resemble the pugnacious brawlers who once ruled England’s fighting pits. But today’s responsible breeders are producing sweet-natured, family-oriented dogs with a reputation for being patient with kids. These are true-blue loyal companions, but the old fighting instinct still lurks within—making it vital that pups be socialized with other dogs to learn good canine manners. From his brawling past, the muscular but agile Staffordshire Bull Terrier retains the traits of courage and tenacity. Happily, good breeding transformed this former gladiator into a mild, playful companion with a special feel for kids."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , "Clever, Brave, Tenacious"               ,         80,      35.56,      40.64, 10.88621688        , 17.23651006       ,           12.0,           14.0, Terrier Group           ,                      0.4, Weekly Brushing            ,            0.4, Occasional       ,                0.8, Energetic             ,                0.2, May be Stubborn      ,            0.8, Friendly
136, Rottweiler                , Chronic hepatitis                        , 0            , "A male Rottweiler will stand anywhere from 24 to 27 muscular inches at the shoulder; females run a bit smaller and lighter. The glistening, short black coat with smart rust markings add to the picture of imposing strength. A thickly muscled hindquarters powers the Rottie’s effortless trotting gait.A well-bred and properly raised Rottie will be calm and confident, courageous but not unduly aggressive. The aloof demeanor these world-class guardians present to outsiders belies the playfulness, and downright silliness, that endear Rotties to their loved ones. (No one told the Rottie he’s not a toy breed, so he is liable plop onto your lap for a cuddle.) Early training and socialization will harness a Rottie’s territorial instincts in a positive way. The Rottweiler is a robust working breed of great strength descended from the mastiffs of the Roman legions. A gentle playmate and protector within the family circle, the Rottie observes the outside world with a self-assured aloofness."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "Loyal, Loving, Confident Guardian"      ,          8,      55.88,      68.58, 36.2873896         , 61.23496995       ,            9.0,           10.0, Working Group           ,                      0.4, Weekly Brushing            ,            0.6, Seasonal         ,                0.6, Regular Exercise      ,                0.6, Agreeable            ,            0.4, Reserved with Strangers
137, Labrador Retriever        , Chronic hepatitis                        , 0            , "The sturdy, well-balanced Labrador Retriever can, depending on the sex, stand from 21.5 to 24.5 inches at the shoulder and weigh between 55 to 80 pounds. The dense, hard coat comes in yellow, black, and a luscious chocolate. The head is wide, the eyes glimmer with kindliness, and the thick, tapering “otter tail” seems to be forever signaling the breed’s innate eagerness.Labs are famously friendly. They are companionable housemates who bond with the whole family, and they socialize well with neighbor dogs and humans alike. But don’t mistake his easygoing personality for low energy: The Lab is an enthusiastic athlete that requires lots of exercise, like swimming and marathon games of fetch, to keep physically and mentally fit. The sweet-faced, lovable Labrador Retriever is America’s most popular dog breed. Labs are friendly, outgoing, and high-spirited companions who have more than enough affection to go around for a family looking for a medium-to-large dog."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "Friendly, Active, Outgoing"             ,          1,      54.61,      62.23, 24.947580350000003 , 36.2873896        ,           10.0,           12.0, Sporting Group          ,                      0.4, Weekly Brushing            ,            0.8, Regularly        ,                1.0, Needs Lots of Activity,                1.0, Eager to Please      ,            1.0, Outgoing
138, Yorkshire Terrier         , Familial kidney disease                  , 13           , "The Yorkshire Terrier is a compact, toy-size terrier of no more than seven pounds whose crowning glory is a floor-length, silky coat of steel blue and a rich golden tan.Don’t let the Yorkie’s daintiness fool you. Tenacious, feisty, brave, and sometimes bossy, the Yorkie exhibits all the traits of a true terrier. Often named the most popular dog breed in various American cities, Yorkies pack lots of big-town attitude into a small but self-important package. They are favorites of urbanites the world over.Yorkies are long-lived and low-allergen (the coat is more like human hair than animal fur), and they make fine little watchdogs. This is a true “personality breed,” providing years of laughs, love, and close companionship. Beneath the dainty, glossy, floor-length coat of a Yorkshire Terrier beats the heart of a feisty, old-time terrier. Yorkies earned their living as ratters in mines and mills long before they became the beribboned lapdogs of Victorian ladies."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , "Affectionate, Sprightly, Tomboyish"     ,         10,      17.78,      20.32,  3.17514659        ,  3.17514659       ,           11.0,           15.0, Toy Group               ,                      1.0, Specialty/Professional     ,            0.2, Infrequent       ,                0.6, Regular Exercise      ,                0.2, May be Stubborn      ,            0.8, Friendly
139, German Shepherd Dog       , Familial kidney disease                  , 5            , "German Shepherd Dogs can stand as high as 26 inches at the shoulder and, when viewed in outline, presents a picture of smooth, graceful curves rather than angles. The natural gait is a free-and-easy trot, but they can turn it up a notch or two and reach great speeds.There are many reasons why German Shepherds stand in the front rank of canine royalty, but experts say their defining attribute is character: loyalty, courage, confidence, the ability to learn commands for many tasks, and the willingness to put their life on the line in defense of loved ones. German Shepherds will be gentle family pets and steadfast guardians, but, the breed standard says, there’s a “certain aloofness that does not lend itself to immediate and indiscriminate friendships.” Generally considered dogkind’s finest all-purpose worker, the German Shepherd Dog is a large, agile, muscular dog of noble character and high intelligence. Loyal, confident, courageous, and steady, the German Shepherd is truly a dog lover’s delight."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "Confident, Courageous, Smart"           ,          2,      55.88,      66.04, 22.6796185         , 40.8233133        ,            7.0,           10.0, Herding Group           ,                      0.4, Weekly Brushing            ,            0.8, Regularly        ,                0.6, Regular Exercise      ,                1.0, Eager to Please      ,            0.6, Alert/Responsive
140, Russian Toy               , Familial kidney disease                  , 4            , "The Russian Toy is a toy breed with a lineage that dates back to the Russian aristocracy. In general, he is a good-natured imp that loves to run and play. They will dash through the house or yard chasing toys as long as you can keep up, while many others are willing to do nothing more than lounge in your lap all day long, content in knowing that they are the prize jewel in your home. They thrive on human companionship and will let you know if they are feeling neglected. Their coat is either semi-long or smooth. The longhaired variety carries a nice ruff on the chest and unique feathering on the extremities, tail and ears. Long-coated Russian Toys will not have an adult coat until it is more than a year old and full fringing not until three years of age. The smooth-coated variety is sleek and smooth to the touch. There is also a slight attitude difference between the two varieties. Smooth Coats tend to be a little more terrier-like than Long Coats. However, both share a larger-than-life personality. Club Contact DetailsClub: Russian Toy Club of AmericaName: Martha GuimondEmail: secretary@russiantoyclub.orgAddress: P.O. Box 1851, Blanco, TX 78606Phone: (210) 401-5134 The Russian Toy is a small, elegant, lively dog with long legs, fine bones and lean muscles. They are active and cheerful, possessing keen intelligence and a desire to please. This breed loves to snuggle and be close to their human companions, although sometimes slightly aloof to strangers. They are neither cowardly nor aggressive.", "Loyal, Smart, Charming"                 ,           ,      20.32,      27.94,  2.948350405       ,  2.948350405      ,           12.0,           14.0, Miscellaneous Class     ,                      0.4, Weekly Brushing            ,            0.2, Infrequent       ,                0.6, Regular Exercise      ,                0.6, Agreeable            ,            0.8, Friendly
141, Chihuahua                 , Familial kidney disease                  , 0            , "The Chihuahua is a balanced, graceful dog of terrier-like demeanor, weighing no more than 6 pounds. The rounded “apple” head is a breed hallmark. The erect ears and full, luminous eyes are acutely expressive. Coats come in many colors and patterns, and can be long or short. The varieties are identical except for coat.Chihuahuas possess loyalty, charm, and big-dog attitude. Even tiny dogs require training, and without it this clever scamp will rule your household like a little Napoleon. Compact and confident, Chihuahuas are ideal city pets. They are too small for roughhousing with kids, and special care must be taken in cold weather, but Chihuahuas are adaptable—as long as they get lots of quality time in their preferred lap. The Chihuahua is a tiny dog with a huge personality. A national symbol of Mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the Americas, with a lineage going back to the ancient kingdoms of pre-Columbian times."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "Charming, Graceful, Sassy"              ,         33,      12.7 ,      20.32,  2.72155422        ,  2.72155422       ,           14.0,           16.0, Toy Group               ,                      0.2, Occasional Bath/Brush      ,            0.4, Occasional       ,                0.6, Regular Exercise      ,                0.4, Independent          ,            0.6, Alert/Responsive
142, German Spitz              , Familial kidney disease                  , 0            , "Spitz breeds like the German Spitz are captivating on account of their beautiful coats, made to stand off by a plentiful undercoat. Particularly impressive is his strong, mane-like collar around his neck, called a ruff, and the bushy tail carried boldly over his back. His foxy head, alert eyes, and small, pointed, closely-set ears give the German Spitz his unique cheeky appearance. His coat comes in a variety of colors including white, black, cream, gold, black and tan, sable, and chocolate brown. Though easily trainable, this lively and intelligent breed can also have an independent streak. If properly trained (so as not to be too noisy) and well socialized, the German Spitz will be happy mingling with other people and dogs. The German Spitz is always attentive, lively and exceptionally devoted to his owner. He is very teachable and easy to train. His distrust towards strangers and lack of hunting instinct make him the ideal watchdog for the home. His indifference to weather, robustness and longevity are his most outstanding attributes."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , "Devoted, Lively, Attentive"             ,           ,      30.48,      38.1 , 10.88621688        , 11.79340162       ,           13.0,           15.0, Foundation Stock Service,                      0.6, 2-3 Times a Week Brushing  ,            0.6, Seasonal         ,                0.6, Regular Exercise      ,                1.0, Eager to Please      ,            0.4, Reserved with Strangers
143, Pomeranian                , Familial kidney disease                  , 0            , "The Pomeranian combines a tiny body (no more than seven pounds) and a commanding big-dog demeanor. The abundant double coat, with its frill extending over the chest and shoulders, comes in almost two dozen colors, and various patterns and markings, but is most commonly seen in orange or red.Alert and intelligent, Pomeranians are easily trained and make fine watchdogs and perky pets for families with children old enough to know the difference between a toy dog and a toy. Poms are active but can be exercised with indoor play and short walks, so they are content in both the city and suburbs. They will master tricks and games with ease, though their favorite activity is providing laughs and companionship to their special human. The tiny Pomeranian, long a favorite of royals and commoners alike, has been called the ideal companion. The glorious coat, smiling, foxy face, and vivacious personality have helped make the Pom one of the world's most popular toy breeds."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , "Inquisitive, Bold, Lively"              ,         23,      15.24,      17.78,  1.36077711        ,  3.17514659       ,           12.0,           16.0, Toy Group               ,                      0.6, 2-3 Times a Week Brushing  ,            0.6, Seasonal         ,                0.6, Regular Exercise      ,                0.6, Agreeable            ,            0.6, Alert/Responsive
144, Central Asian Shepherd Dog, Familial kidney disease                  , 1            , "Central Asian Shepherd Dogs are a natural protective breed that require a non-stop observance for the life of the dog. They are not for first-time dog owners. They were formed as a breed from natural selection during more than four thousand years in a vast territory, which spreads nowadays from the Caspian Sea to China and from Southern Ural to Afghanistan. The Central Asian Shepherd Dog is self-assured, balanced, quiet, proud and independent. They are very courageous and have a high working capacity, endurance and a natural instinct of territory. This breed is known for its fearlessness towards large predators."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Independent, Courageous, Self-Confident",           ,      64.77,      69.85, 39.91612856        , 49.895160700000005,               ,               , Foundation Stock Service,                      0.2, Occasional Bath/Brush      ,            0.6, Seasonal         ,                0.4, Calm                  ,                0.4, Independent          ,            0.2, Aloof/Wary
145, Siberian Husky            , Familial kidney disease                  , 4            , "The graceful, medium-sized Siberian Husky’s almond-shaped eyes can be either brown or blue—and sometimes one of each—and convey a keen but amiable and even mischievous expression. Quick and nimble-footed, Siberians are known for their powerful but seemingly effortless gait. Tipping the scales at no more than 60 pounds, they are noticeably smaller and lighter than their burly cousin, the Alaskan Malamute. In fact, breeders and fanciers prefer the moniker Siberians over huskies, as the latter suggests a bigger, brawnier dog than what is the standard for the breed.As born pack dogs, Siberians enjoy family life and get on well with other dogs; their innate friendliness render them indifferent watchdogs. This breed is also energetic and can’t resist chasing small animals, so secure running room is a must. An attractive feature of the breed: Siberians are naturally clean, with little doggy odor. The Siberian Husky, a thickly coated, compact sled dog of medium size and great endurance, was developed to work in packs, pulling light loads at moderate speeds over vast frozen expanses. This northern breed is friendly, fastidious, and dignified."                                                                                                                                                                                                                                                                                                                                                                              , "Loyal, Mischievous, Outgoing"           ,         14,      50.8 ,      59.69, 15.875732950000002 , 27.2155422        ,           12.0,           14.0, Working Group           ,                      0.4, Weekly Brushing            ,            0.6, Seasonal         ,                0.8, Energetic             ,                0.4, Independent          ,            0.8, Friendly
